t1_win_rate,t1_recent_win_rate,t1_titles,t1_toss_win_rate,t1_toss2win_rate,t1_seasons,t2_win_rate,t2_recent_win_rate,t2_titles,t2_toss_win_rate,t2_toss2win_rate,t2_seasons,toss_winner_is_t1,team1_wins,team1,team2,season
0.4831,0.5,0.0,0.4944,0.4545,5.0,0.4773,0.5417,1.0,0.5227,0.5,5.0,0,1,Kings XI Punjab,Kolkata Knight Riders,2014
0.5895,0.6346,1.0,0.5474,0.5769,5.0,0.4615,0.375,0.0,0.5165,0.4468,5.0,1,0,Mumbai Indians,Delhi Daredevils,2014
0.5294,0.5294,0.0,0.4118,0.1429,1.0,0.602,0.6346,2.0,0.4694,0.6739,5.0,1,0,Sunrisers Hyderabad,Chennai Super Kings,2014
0.5054,0.5532,0.0,0.3871,0.5278,5.0,0.4831,0.5,0.0,0.4944,0.4545,5.0,0,0,Royal Challengers Bangalore,Kings XI Punjab,2014
0.5333,0.5106,1.0,0.5444,0.551,5.0,0.4773,0.5417,1.0,0.5227,0.5,5.0,1,0,Rajasthan Royals,Kolkata Knight Riders,2014
0.5294,0.5294,0.0,0.4118,0.1429,1.0,0.5895,0.6346,1.0,0.5474,0.5769,5.0,0,1,Sunrisers Hyderabad,Mumbai Indians,2014
0.602,0.6346,2.0,0.4694,0.6739,5.0,0.4773,0.5417,1.0,0.5227,0.5,5.0,1,1,Chennai Super Kings,Kolkata Knight Riders,2014
0.4831,0.5,0.0,0.4944,0.4545,5.0,0.5895,0.6346,1.0,0.5474,0.5769,5.0,1,0,Kings XI Punjab,Mumbai Indians,2014
0.4615,0.375,0.0,0.5165,0.4468,5.0,0.5333,0.5106,1.0,0.5444,0.551,5.0,0,0,Delhi Daredevils,Rajasthan Royals,2014
0.5294,0.5294,0.0,0.4118,0.1429,1.0,0.5054,0.5532,0.0,0.3871,0.5278,5.0,0,0,Sunrisers Hyderabad,Royal Challengers Bangalore,2014
0.5333,0.5106,1.0,0.5444,0.551,5.0,0.4773,0.5417,1.0,0.5227,0.5,5.0,0,1,Rajasthan Royals,Kolkata Knight Riders,2014
0.4615,0.375,0.0,0.5165,0.4468,5.0,0.602,0.6346,2.0,0.4694,0.6739,5.0,0,0,Delhi Daredevils,Chennai Super Kings,2014
0.5895,0.6346,1.0,0.5474,0.5769,5.0,0.5054,0.5532,0.0,0.3871,0.5278,5.0,0,1,Mumbai Indians,Royal Challengers Bangalore,2014
0.4615,0.375,0.0,0.5165,0.4468,5.0,0.4773,0.5417,1.0,0.5227,0.5,5.0,1,0,Delhi Daredevils,Kolkata Knight Riders,2014
